snapshotHead	snapshotTree	scope	capability	classificationSeed	manualReview	phase	relation	path	gitMode	gitBlobOid	sha256	bytes	goPackage	generatedState	risk	notes
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/ISSUE_TEMPLATE/bug_report.yml	100644	07438b251c5db61dcffcafdfded639b9cba8198e	c70eccc9ba2a72a7e014cce66996c4b0b81e8b4649fe84e6453a613c47e8cfe6	3316	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/ISSUE_TEMPLATE/feature_request.yml	100644	53aab5166a56d88f18f1e99c6962b6bf75614f00	86060925f469291bcbcc287669d5f78a150e5b2c7c1e62b0051bd6103a8180ea	3308	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/VOUCHED.td	100644	7beb3062d1bee5af861c45e642e28e28d72a6cf8	5322d9b88ce0115b0c5d371a8f5a31e58029f93bbc0f93f7da5be392a93d695a	382	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/pull_request_template.md	100644	cb5f01ecf6c524d3a2c8586d504ad0714bd353b1	fd5b400dcabadb4f13fba0daf79c441ca2aef8251396f33912417484b945afab	1194	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/workflows/ci.yml	100644	8e6617de884472fb1dd5a09d9a5e45ea98f0e6a6	bf50639f43553f27452050fa5ca8b99469841887ae104a4677ffc620d8d3fc9f	12620	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/workflows/issue-labels.yml	100644	d6571d65d453025a9b95db41a2b3c3f2bf4bb6a0	da015735d691b10cdff627d9257aa5e5a677be38aa00dd62593ea61f61c08893	2210	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/workflows/polaris-sdk-release.yml	100644	2f1830b6599b650ddc6c0d19a15873fe6095464c	77abcc0519b9c51754432ddc7a77c0f263bf5d33e85211730384b7e58e5705dd	6922	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/workflows/pr-size.yml	100644	ced845a28f1acad905866c0cebe92d712224b4b1	0582004c9668c22cf74833969b969e7e14eaf22715cbab8d4a53b45d33098f44	8560	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/workflows/pr-vouch.yml	100644	c4abb08b727b273d0bb81584483bf9b28857ea98	7de2a8e657c15c1b341f6a7739a2e05c0343b599437e0ce19aa23002eae613f1	6494	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	ci	unclassified	unclassified	true	validate	ci-workflow	.github/workflows/release.yml	100644	3dd4aeeccd99fa28300ed1ae1c4ba05c68dc5da8	155964c12c59ad59addc426c4d235df351967529ab4ece08149030c0dea460c7	50094	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	root-supply-chain	worker-image-supply-chain	unclassified	true	image-build	build-context	Dockerfile	100644	253dbd00030ae5682ebad3235283b7e4d1b32590	61542fc265e18f70948f95934182ac1d19d37d8b11d45339733cbc81d1890309	24056	-	not-generated	broad-copy	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	provider-host-compat	external-runtime-candidate	adapter	false	image-copy	external-artifact-input	apps/provider-host/package.json	100644	4ab9210615ffcb1a90cd079cd9a68cc2b0460748	19ed1175ef0d1ffe6981ec296836c99289c59e132d5646238032fcacc7d1ef9f	617	-	not-generated	cross-language,external-immutable	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	provider-host-compat	external-runtime-candidate	adapter	false	validate	test-input	apps/provider-host/src/index.test.ts	100644	9073cf00e63842cbed89ad5c94497b887ac0742f	abc08af07ab03aac827d4490b89976460d47156afc6312af32aaeda649f50055	2260	-	not-generated	cross-language,external-immutable	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	provider-host-compat	external-runtime-candidate	adapter	false	evidence	tracked-input	apps/provider-host/src/index.ts	100644	834791b96f6aed56468508cdcd0169cd37a485de	9e5b1c208e316df10af72c7adfd48917748e18cd7b09a1077ed95f47e1624d0a	69	-	not-generated	cross-language,external-immutable	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	provider-host-compat	external-runtime-candidate	adapter	false	evidence	tracked-input	apps/provider-host/tsconfig.json	100644	08a471d039b95d4c9eff1d6dc65669c3f4ce313b	d38c25bd76efc8abab7cf154f44a0f78de3e421f898a93e73ac1756650deb977	142	-	not-generated	cross-language,external-immutable	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	root-supply-chain	unclassified	unclassified	true	image-copy	external-artifact-input	bun.lock	100644	89334cd51790bcc734b94824ea2fffe8d96bb862	df132f85f5624112ab5b6461a345ae8875c7e76d27f9b0f7322a35afe11b2e94	609997	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	root-supply-chain	external-runtime-candidate	adapter	false	image-copy	external-artifact-input	cloud-agent-candidate.lock.json	100644	cdf86c0a073468c9d722f3133e9874912046677f	c37167d88426c71042bfa53a511f07a3988643370da4aade4303cf3925895829	2706	-	not-generated	cross-language,external-immutable	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	root-supply-chain	external-runtime-candidate	adapter	false	image-copy	external-artifact-input	cloud-agent-candidate.lock.schema.json	100644	54451c0db63f69183ce688fe429aa2ca285b4638	7660d443bc11f77c6cc98e09d047365c1e86aaec037a94104c899cdb1f7c2c64	2937	-	not-generated	cross-language,external-immutable	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	billing-commercial	synara-only	false	deploy	deployment-ref	deploy/billing/README.md	100644	460ed8fb2b942b8bd6092c4f295d9fcc03d9a1a2	71011a44d24083b4153e876a0ad8cedd1991b6e29e7a0aab1e76bb17357217d1	4641	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	billing-commercial	synara-only	false	deploy	deployment-ref	deploy/billing/postgres-minio-acceptance.sh	100755	8eb77524bd295b7b9de54ef56e04cc46f724492d	a0b6cca6a88fd6d0238a949de349942911372dcdf8b993cbf97c54386bae8bf8	34658	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/README.md	100644	1f49dfb8d424389bd6b375b501912a24dfe81dce	c60c85feefd0db8c69df1a46a3d421d73303612a9df2dc54fcedb99e4f3b746e	35914	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/acceptance.sh	100755	26ecd194abca14ff70d19df2057ad30f6649bf1f	d0d4ea0f198ca52e8f804c77f3b3a8524d7ca86ecac3b9ad50b23f3d77616d44	29321	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/admin-deployment.yaml	100644	1e5840ddcb7db2b5e2744c085696cbada027e2d1	bae60f017ca0610d2f95ab821fe496b97cd35ed8565469ef322e1fde5e35e641	2316	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/admin-service.yaml	100644	7bd97a617ec7de365c3902d655b756ac8af59ed1	6f785669fb5a03d55dda46585eb192c5a052c6ed9fe8140bc0c665e4664b490e	301	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/config.example.yaml	100644	8a2a869b8fa1e9ada958443ee36d7da5a1a145f4	50935b3978fcde1c4c967abd92e094e3b34fc39f835f6e4f2571d2cf7f6ae05d	2680	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/deployment.yaml	100644	0466daa05a9d6b85c13d5ededa16f1707ed91904	c44d8b28c37d1700878967de2dfabb5d4f1bad3892ddb1b978b53f6dbd019a75	12971	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/developer-docs/README.md	100644	f12aa45f1bb1deeca8944b8d86af4263dfc74c9b	9d164741b9d86aee992b0b1f94e2fbf2de04958ae7518fdac6094b2eb552baba	1490	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/developer-docs/deployment.yaml	100644	7faec6c073fed2a817f521c8ce99d5f3062afeb6	60becf7940954e307148d35a9a1a9849863ee922127e22d6f0428f7e5a8290a2	2000	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/developer-docs/ingress.example.yaml	100644	188a51d191d0235807ef0fc16878a9ed9825dca0	72611e91c9eba4d1cb694642d611043fafb0bbe13a8a01075772274a8f7598c3	642	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/developer-docs/kustomization.yaml	100644	2faa7550e525b7e0a4a40d27579e033641e090b1	acab495d6fab6d98f71ccfea2285715d8e886e4a90f9d167056504be2d9eceb1	168	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/developer-docs/pod-disruption-budget.yaml	100644	f40c281e6f29c6fc70e863f5399fe735d4c35f7f	552d1ec3e76baa34e09d4014ffa9413b74379022fd4d89c983828a2d47d5a0b1	313	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/developer-docs/service.yaml	100644	e8b80c66aa8351cb3d45c8443a5ecb2b771c5539	002977384c1b12e90a01ea6ca0603c747896bde93d7c4ff14b04b2fdde14efe7	341	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/gvisor/README.md	100644	9f5f15b495fb3119ae411508b65833682a14ab36	bc56d4735f7c1f10f1759b0d1746ec04d44145ced4b1e81bb1765a6fb7d20da5	3489	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/gvisor/kustomization.yaml	100644	34cc46c26037b6311f3c7e6941225d8b71134ad2	c320a6bb3ff5cb6b367d4272896009e0d675ff6d5904107d265f41c496c4c04d	121	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/gvisor/node-attestor.yaml	100644	9662bea168790edfda3275c57ac7789695852e80	febcb5bd972b61f84dd6bc034d53b789ef41c927e06004f52ad345965ceb58b3	3197	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/gvisor/runtime-class.yaml	100644	3e30adfe76b3d1178b0a0bf674a29767b1ab4f16	5b003078b72e0a5fe4e0446c5afafca0c48ab06ab48971edabc9845e38f05355	156	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/kind-acceptance.sh	100755	a53f411d1ef339b2696d02a509a5e4829c0fe51f	431bca972be151950762edbbb937d23dbbf6a02dbebb3f37dc51957135925d80	2443	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/kind-dual-cluster-acceptance.sh	100755	b5302aa659bf8d84c597992f03e08b059d43be76	ffd53405e39ce3d81a8df4820a2c041a880b863066db1aaab15495e7a4fb4ddc	39631	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/kind-multinode.yaml	100644	9c7fcb7a2a820a5547ad6e17acab6660a026ed2d	4127f63cd7a80bbaa85988fed9670b960d0f9ec8acbc551219fd81a3e982ceda	480	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/kind-resilience-acceptance.sh	100755	e477b06ab49ca32908533150ba56428a69698d39	0d2d1b748b00c6909efacc2d5af890567420ab6522c192a46ac0df9278f440b0	699	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/kustomization.yaml	100644	0d90dbd26e5608ecc78cae9ddcdf5180768705a2	3c46e4ccb7f26ba7004a21f5c6730e986ecb7562a6ac37f3ae6610d33b0e9b04	306	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/managed-hook-controller.py	100644	ca006a1ccb21dae8f5368cbc76e681ef66417f0a	c9086ba399ee84163d78444ecd6a6bf08712861b4bc1c0a79e08d6e60e7adfb3	47915	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/monitoring/README.md	100644	0f5f54957a5957313d8ba8206b27de1c0403d312	1048968e773953e107e17d95707d5c70bccd88b2608ba292b062ada9e75b5a14	2228	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/monitoring/prometheus-rules.yaml	100644	4716bdf216f57005602da6b1d7fe371e88ab1647	ba5a4067d8d16e4d188508a3e9c284bf829f9e388a27d91f7cda8b6393d59c42	16276	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/monitoring/service-monitor.yaml	100644	f744220802291f4b25c4238c1edce32395d3586f	f8d7b8d82d258449dce473bcc97890da3b3d70732eeade7095eaa6fd70c95eff	455	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/namespace.yaml	100644	f0c09ccbcae325c26929f2f98c60a63bf2c50726	ca2d9912e480c80ccce74566a0784e52e409e9c89846f6756ba0d48509c1dba8	160	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/pod-disruption-budget.yaml	100644	fc51d7a9938bd51fa54e4e9bd37844d3e168aca1	c0e2fff9cb110f8a3b750d35c514a8ec63a533c294e6bd83b1debcf652cb10e8	288	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/rbac.yaml	100644	1039b84615f25a4dffd91bdd9551641686439275	fbc0a626710cc322934824d418577f60c277331c603a6bfc73b6f642d34e72ca	1464	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/remote-stage6-acceptance.sh	100755	e402b01207c74559df47350ff94c3c3dc3971998	052a614b0e40d465e3ea8b539d1ff7825e227b78daf1c43dc25ea943cb1b0b43	24780	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/resilience-acceptance.sh	100755	82e4405f1a97a6298039f308bb2f792e4aff2196	42db4d6b2c09030320aa17512a42f26e25cd8ae29195cfeb8f2b0b0e014b2dff	159886	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/resource-lifecycle-acceptance.py	100644	2e2abb72c1aeba0befa6acc2f3d3f03f57208525	e7320f24ef8a03f821ee6955e193d65defbe861b902b649c3f86ad8539bd52c6	46544	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/sandbox-operator/README.md	100644	99119b4d83f82e9162dad0b8b87e8b237bdd504a	4f4b2155cd580363853216a0f63b0e32918b70e73a6dc9092e980f1bf8d35e9e	10424	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/sandbox-operator/cocoon.example.yaml	100644	7dae570a97c7db743e06830d5ea98a224cf762e0	a54922952621fd4d009c1c78965b10d0622f5ea0cca881e7743bfa8a8be98f71	1632	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/sandbox-operator/soak-acceptance.sh	100755	99b5d3f61ecdfbc004c5b1cf1a0611e3071539ee	f67e9f1c3f20a508adc57f6d1560b8c0399b9d16d704bd9bd8dfd9c1eca3812a	14143	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/sandbox-operator/standard.example.yaml	100644	e43a6d0f6122652556f010dfd2fee23b95f5e1fa	8f188c2bab6f3bdb0cb0bf19da8e3e67c1d91bf342542cf3aae4f7779a7a7b3e	6053	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/secret.example.yaml	100644	0ed1fb26e245ca09a94d2558bc9fabc018f809cb	6b7d16822fe50621c4390349ef4b478eba7fcab318ae8e54ac6ffd0d35f81936	1192	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/README.md	100644	e88d0059fd664d6041191ebc45a8d70a60653a93	64098cfa5b72b307208ad58d82b0ebce75666c58cfb01d46ee6db0c29d3a0232	2404	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/cluster/kustomization.yaml	100644	cbf16b4ce2409ec400fbf8d33e37fecc99736ed1	2ba60a516275c7de92a796d005e9d0fbd045c98357497224e164bc0f7195ed06	112	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/cluster/verify-synara-worker-images.yaml	100644	9a40ab9a2e288f46c8152fe5b67b12e42f8906f3	eb088e081634e3b69bbd45457bd26c58eb007a4fd7d9423b77098e9bdc4438b1	1446	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/namespaced/kustomization.yaml	100644	818e33a8516dd113f2502f0cb0e3abfea1d05fb8	2e9970338de27793a7a380655e108ca11fe6f6e077a40099b02cc8eaa0420d2f	176	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/namespaced/synara-worker-cosign-public-key-configmap.yaml	100644	1267cbce3d6ccd6c9340509ef7e66c208302d051	b9c60953fec6f7a9865ddba820d82fd53cd9e3c5c781139e9f2429919f9900e3	376	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/namespaced/synara-worker-signing-settings-configmap.yaml	100644	a0e486487a64b43d7b71c4de97f685cc30107be2	66cc7be38977504fb06a22dd6c74813fdd3b8bb50c9cb6ff236e2c409f4d0e73	215	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/production/kustomization.yaml	100644	a141b17943903988879de1cdb3d621cb3423fed1	2f6f9d0a1f9773d5b7a8a09ae10477789555baa432a2b742dfb2364b91174b8d	470	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/registry/README.md	100644	85f5c4e59173f43a8dc8b49294e5599497aee853	e09286a4d1341b83e5fd380f2c4e934ac1e91aef5065fd6af5d1eaf96762a938	1275	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/registry/distribution-config.example.yml	100644	a7949b78de9bbac719c6fabe0a94b2b926117444	3c896198066691405e4841471ddb33e4ea645f34ce34e8963216d86333ffd086	579	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/registry/retention-policy.json	100644	39d0d0538531ad0998338bb06b66dfa4936cc0ec	164fc6830570d3ac9536d79f66a1780dcbc835096ab7c7cb2eef74d2baf778d9	475	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/vault/README.md	100644	b1b12e514f3b5fec6b9147bc00ae5ed1a9340227	d622d637cb9463aa276a0d170ac4d49a0919d3081683c80c57aa6e4110983921	7421	-	not-generated	-	-
2c50b1eb54ed3228719bb55cc8bdcd1b0babc8e0	ba41fc168ea65978b1f17fdb8abc5afbc22ca9cc	deploy	kubernetes-deployment	adapter	false	deploy	deployment-ref	deploy/kubernetes/security/vault/audit-object-lock-verifier-policy.json	100644	290563dadc37b865f67dcc99503c748bf66f301f	c54aba5b71a0b7e7e470eae0dbe7113efc3b477ef46fc127e851cf7961c8e227	700	-	not-generated	-	-
